Majority protein IDs	LFQ intensity 10_R1	LFQ intensity 10_R2	LFQ intensity 10_R3	LFQ intensity 11_R1	LFQ intensity 11_R2	LFQ intensity 11_R3	Anotacoes	Unique peptides	Sequence coverage [%]
evm_model_NODE_37_134;OKO97284.1;CEJ57078.1	0	827940	0	4141100	11669000	5560700	GH36;Aldolase-type TIM barrel;Alpha-galactosidase, N-terminal domain superfamily;Glycoside hydrolase family 36;Glycoside hydrolase superfamily;Glycosyl hydrolase family 36, C-terminal;Glycosyl hydrolase family 36, N-terminal;Glycosyl hydrolase, all-beta;alpha-galactosidase C; glycoside hydrolase family 36 protein	12	24
evm_model_NODE_52_38;OKP10782.1;CEJ61192.1	6141000	4123000	5791500	8834400	7186200	8675700	GH5_15;Glycoside hydrolase superfamily;Glycoside hydrolase, family 5;putative glucan endo-1,6-beta-glucosidase B; Probable glucan endo-1,6-beta-glucosidase B; AltName: Full=Beta-1,6-glucanase B; AltName: Full=Endo-1,6-beta-D-glucanase B; AltName: Full=Endo-1,6-beta-glucanase B; Glycoside hydrolase, superfamily	12	40.2
evm_model_NODE_6_187;CEO59839.1;OKP11225.1;EPS33221.1	3910500	2452300	2147100	732390	947520	1193300	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain;Aconitase family, 4Fe-4S cluster binding site;Aconitase, domain 2;Aconitase, iron-sulfur domain;Aconitase, mitochondrial-like;Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain;Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3;Aconitase/3-isopropylmalate dehydratase, swivel;aconitate hydratase; Aconitate hydratase, mitochondrial; Short=Aconitase; AltName: Full=Citrate hydro-lyase; AltName: Full=Homocitrate dehydratase	12	19.9
OKO92699.1;evm_model_NODE_6_377;EPS33376.1;CEO60009.1;KZN85990.1	11267000	9326500	8448400	2971400	3111200	3051600	G-protein beta WD-40 repeat;WD40 repeat;WD40 repeat, conserved site;WD40-repeat-containing domain;WD40-repeat-containing domain superfamily;WD40/YVTN repeat-like-containing domain superfamily;G-protein comlpex beta subunit CpcB; GBLP_NEUCR Guanine nucleotide-binding protein beta subunit-like protein (Cross-pathway control WD-repeat protein cpc-2)	11	40.8
evm_model_NODE_1_696;OKP14641.1;CEJ56019.1;EPS30011.1	3598100	0	4250700	0	0	0	Alkaline phosphatase-like, alpha/beta/alpha;Alkaline-phosphatase-like, core domain superfamily;BPG-independent PGAM, N-terminal;BPG-independent phosphoglycerate mutase, domain B superfamily;Metalloenzyme;Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent;phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent	11	29.2
evm_model_NODE_12_211;OKP08330.1	4673000	8197400	7646500	17984000	14798000	18862000	PL4_1;Carbohydrate-binding-like fold;Galactose mutarotase-like domain superfamily;Galactose-binding-like domain superfamily;Glycoside hydrolase-type carbohydrate-binding;Rhamnogalacturonan lyase, domain II;Rhamnogalacturonan lyase, domain III;Rhamnogalacturonase B;Rhamnogalacturonase B, N-terminal;putative rhamnogalacturonate lyase A; rhamnogalacturonase B, putative; polysaccharide lyase family 4 protein	11	45.6
evm_model_NODE_18_170;OKP02479.1	40416000	25028000	45779000	82281000	225430000	89664000	GH72;Glucanosyltransferase;Glycoside hydrolase superfamily;1,3-beta-glucanosyltransferase gel2; Glycoside hydrolase, superfamily	11	31.6
evm_model_NODE_18_174;OKP02475.1	13887000	8677900	8845700	12450000	14646000	11805000	Aldehyde dehydrogenase, C-terminal;Aldehyde dehydrogenase, N-terminal;Aldehyde dehydrogenase, cysteine active site;Aldehyde dehydrogenase, glutamic acid active site;Aldehyde/histidinol dehydrogenase;Aldehyde dehydrogenase, C-terminal; aldehyde dehydrogenase AldA, putative; Aldehyde dehydrogenase; Short=ALDDH	11	51.4
evm_model_NODE_19_222;OKO96398.1;CEJ53940.1	1764200	2038500	2062300	2186100	2563200	2229000	Myo-inositol-1-phosphate synthase;NAD(P)-binding domain superfamily;Myo-inositol-1-phosphate synthase	11	34.6
evm_model_NODE_36_44;CEO58404.1;OKO98506.1	3801500	3486900	0	4255100	3592400	3385100	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1;D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;NAD(P)-binding domain superfamily;NAD-dependent formate dehydrogenase;D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding; Formate dehydrogenase; NAD-dependent formate dehydrogenase AciA/Fdh	11	38.2
evm_model_NODE_4_137;OKP11748.1	2834200	4511800	2037600	3584700	1773400	2555700	GH31;Galactose mutarotase, N-terminal barrel;Galactose mutarotase-like domain superfamily;Glycoside hydrolase family 31;Glycoside hydrolase superfamily;Glycosyl hydrolase, all-beta;Glycosyl hydrolases family 31, active site;Glycosyl hydrolases family 31, conserved site;Alpha-glucosidase; Glycoside hydrolase, family 31	11	19.6
evm_model_NODE_48_29;OKP00024.1;CEJ62204.1	0	0	0	1536400	0	1008500	GH5_22;Glycoside hydrolase superfamily;Glycoside hydrolase, family 5;Glycoside hydrolase, superfamily; endoglucanase family 5 glycoside hydrolase	11	28.8
OKO90274.1;evm_model_NODE_6_121;CEO59773.1	27674000	26886000	24914000	90576000	146520000	109990000	GH18;Chitinase II;Chitinase insertion domain superfamily;Glycoside hydrolase family 18, catalytic domain;Glycoside hydrolase superfamily;Glycoside hydrolase, chitinase active site;chitinase; Endochitinase B1; Glycoside hydrolase, superfamily	11	65.3
evm_model_NODE_7_320;CEJ55324.1;OKO99198.1	2655900	3852700	4403500	5625200	7104600	4284400	Peptidase M28;Aminopeptidase, putative; Leucine aminopeptidase 1; AltName: Full=Leucyl aminopeptidase 1; Short=LAP1	11	44.6
evm_model_NODE_9_118;OKO98304.1;CEO60725.1	3271200	3122100	2286500	1038700	983480	1045600	Fumarylacetoacetase;Fumarylacetoacetase, N-terminal;Fumarylacetoacetase, N-terminal domain superfamily;Fumarylacetoacetase-like, C-terminal;Fumarylacetoacetase-like, C-terminal domain superfamily;Fumarylacetoacetase, N-terminal; Fumarylacetoacetate hydrolase FahA	11	35
OKP12619.1;evm_model_NODE_16_203	3313900	4533500	4615600	7012700	5199500	5841800	Glutathione S-transferase, C-terminal domain superfamily;Glutathione S-transferase, C-terminal-like;Glutathione S-transferase, N-terminal;Thioredoxin-like superfamily;Glutathione S-transferase/chloride channel, C-terminal; thioredoxin-like protein; similar to glutathione-S-transferase omega 1	11	43
evm_model_NODE_1_502;OKO90843.1;CEJ55832.1	0	0	0	2708000	3119000	2833700	Alkaline phosphatase;Alkaline phosphatase, active site;Alkaline phosphatase-like, alpha/beta/alpha;Alkaline-phosphatase-like, core domain superfamily;alkaline phosphatase; repressible alkaline phosphatase; alkaline phosphatase Pho8	10	26.1
evm_model_NODE_16_183	1928700	1975700	2155700	1356000	2068400	562780	NmrA-like domain;nmrA-like family protein	10	40.4
evm_model_NODE_2_422;OKO93378.1	14967000	21122000	13786000	15752000	8389600	10814000	GH10;Glycoside hydrolase family 10 domain;Glycoside hydrolase superfamily;endo-1,4-beta-xylanase, putative; glycosyl hydrolase family 10 protein	10	43.6
evm_model_NODE_21_21;OKO95955.1	89343000	65642000	65386000	51970000	60224000	69577000	GH0;Leucine rich repeat 5;Leucine-rich repeat domain superfamily;Protein ecm33; GPI-anchored cell wall organization protein Ecm33	10	30.3
evm_model_NODE_25_99;OKP12516.1;CEJ54078.1	5725200	5479100	8088500	2230200	5122900	2236800	Aldo/keto reductase;Aldo/keto reductase, conserved site;NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily;Aldo/keto reductase; D-xylose reductase; Probable NAD(P)H-dependent D-xylose reductase xyl1; NADPH-dependent D-xylose reductase II,III	10	50.5
evm_model_NODE_29_141;OKP11075.1	726130	875460	1070900	983960	1472500	862900	GH3;Carbohydrate-binding WSC;Glycoside hydrolase family 3 C-terminal domain;Glycoside hydrolase family 3 C-terminal domain superfamily;Glycoside hydrolase superfamily;Glycoside hydrolase, family 3, N-terminal;Glycoside hydrolase, family 3, N-terminal domain superfamily;Immunoglobulin-like fold;beta-xylosidase, putative; Probable exo-1,4-beta-xylosidase bxlB; AltName: Full=1,4-beta-D-xylan xylohydrolase bxlB; AltName: Full=Beta-xylosidase bxlB; AltName: Full=Xylobiase bxlB; Probable exo-1,4-beta-xylosidase xlnD; AltName: Full=1,4-beta-D-xylan xylohydrolase xlnD; AltName: Full=Beta-xylosidase A; AltName: Full=Beta-xylosidase xlnD; AltName: Full=Xylobiase xlnD	10	15.7
evm_model_NODE_37_12	1520800	731070	615880	776870	646700	715740	Carbonic anhydrase;Carbonic anhydrase superfamily;carbonic anhydrase family protein, partial; carbonic anhydrase Nce103	10	65.2
evm_model_NODE_4_114;OKP11029.1;CEJ60834.1	1712400	1839600	2056500	2698400	1933100	2363500	Aminopeptidase P, N-terminal;Creatinase/Aminopeptidase P/Spt16, N-terminal;Creatinase/aminopeptidase-like;Peptidase M24;Probable Xaa-Pro aminopeptidase pepP; AltName: Full=Aminoacylproline aminopeptidase	10	29.2
evm_model_NODE_48_1;OKP00058.1	308160000	240380000	311280000	70744000	81270000	96762000	GH132;SUN family;Secreted beta-glucosidase sun1; SUN domain protein (Uth1), putative	10	32.3
evm_model_NODE_5_223;OKO93872.1	0	0	0	8718000	5475300	8637700	Neutral ceramidase, C-terminal domain superfamily;Neutral/alkaline non-lysosomal ceramidase, N-terminal;Neutral/alkaline nonlysosomal ceramidase;Neutral/alkaline nonlysosomal ceramidase	10	19.2
evm_model_NODE_6_326;OKO92657.1;CEO59963.1;KZN85947.1;EPS33335.1	1087100	0	1243500	1718800	0	1332500	Isocitrate lyase;Isocitrate lyase/phosphorylmutase, conserved site;Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;Isocitrate lyase; Isocitrate lyase; Short=ICL; Short=Isocitrase; Short=Isocitratase; AltName: Full=Methylisocitrate lyase; Short=MICA	10	27.5
evm_model_NODE_6_91;OKO90312.1	1732800	0	0	4255700	4769400	5559900	GH10;Cellulose-binding domain superfamily;Cellulose-binding domain, fungal;Glycoside hydrolase family 10 domain;Glycoside hydrolase superfamily;Glycosyl hydrolases family 10, active site;endo-1,4-beta-xylanase precursor; Glycoside hydrolase, superfamily	10	53.7
OKO97514.1;evm_model_NODE_17_223;CEJ57327.1;EPS27002.1;KZN86988.1	0	0	0	0	237920	0	Peptidase M18;Peptidase M18, domain 2;Aspartyl aminopeptidase; Peptidase M18	9	28.4
OKO95991.1;evm_model_NODE_44_73;CEJ61997.1;EPS31162.1;KZN90869.1	0	693650	0	0	489020	0	Glutamate dehydrogenase;Glutamate/phenylalanine/leucine/valine dehydrogenase;Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal;Leu/Phe/Val dehydrogenases active site;NAD(P) binding domain of glutamate dehydrogenase;NAD(P)-binding domain superfamily;NADP-specific glutamate dehydrogenase; Short=NADP-GDH	9	24.2
evm_model_NODE_1_255;OKP00444.1;CEJ55537.1	1699300	1569000	1531100	0	1721600	1794800	Aldehyde dehydrogenase domain;Aldehyde dehydrogenase, C-terminal;Aldehyde dehydrogenase, N-terminal;Aldehyde dehydrogenase, glutamic acid active site;Aldehyde/histidinol dehydrogenase;Aldehyde dehydrogenase, N-terminal; Aldehyde dehydrogenase (NAD(+)); aldehyde dehydrogenase ALDH	9	25.1
evm_model_NODE_1_523;CEJ56042.1	0	0	0	0	1415000	378900	PL26;sem anotacao InterPro;hypothetical protein	9	15.1
evm_model_NODE_16_264;OKP14428.1	7402400	6811000	6262900	5987000	5493000	5727100	GH43_14;Concanavalin A-like lectin/glucanase domain superfamily;Glycosyl hydrolase, five-bladed beta-propellor domain superfamily;Xylosidase : arabinofuranosidase; glycoside hydrolase family 43 protein	9	29.2
evm_model_NODE_17_270	1047800	904590	881520	0	0	0	Isocitrate dehydrogenase NADP-dependent;Isocitrate/isopropylmalate dehydrogenase, conserved site;Isopropylmalate dehydrogenase-like domain;isocitrate dehydrogenase [NADP], mitochondrial	9	30.6
evm_model_NODE_2_464;OKO93408.1	0	1391800	0	4085300	2450000	1744500	Kynurenine formamidase superfamily;putative cyclase; cornichon	9	41.2
evm_model_NODE_21_67;OKO95897.1;CEJ62475.1;EPS31216.1	0	0	0	0	727160	0	Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal;NAD(P)-binding domain superfamily;NAD-dependent glutamate dehydrogenase, eukaryotes;NAD-glutamate dehydrogenase;Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal; NAD+ dependent glutamate dehydrogenase, putative; NAD-specific glutamate dehydrogenase	9	11
evm_model_NODE_24_190;OKO95556.1;CEJ59308.1	943330	0	0	2096200	5591100	1470300	Aminotransferase, class I/classII;Aspartate/other aminotransferase;Pyridoxal phosphate-dependent transferase;Pyridoxal phosphate-dependent transferase domain 1;Pyridoxal phosphate-dependent transferase, major domain;Aspartate/other aminotransferase; Aspartate transaminase, putative; aspartate aminotransferase, cytoplasmic	9	30.6
evm_model_NODE_24_203;OKO95540.1;EPS28790.1;CEJ59291.1	1292900	2410400	2022100	1221900	747490	1848100	Phosphoglucose isomerase (PGI);Phosphoglucose isomerase, C-terminal;Phosphoglucose isomerase, SIS domain 2;Phosphoglucose isomerase, conserved site;glucose-6-phosphate isomerase; phosphoglucose isomerase	9	34
evm_model_NODE_27_163;OKP09588.1	0	0	0	863920	0	0	5'-Nucleotidase, C-terminal domain superfamily;5'-Nucleotidase/apyrase;Calcineurin-like phosphoesterase domain, ApaH type;Metallo-dependent phosphatase-like;Predicted phosphoesterase, C1039.02 type;Ser/Thr protein phosphatase family; calcineurin-like phosphoesterase, putative	9	23.1
evm_model_NODE_3_125;OKO99833.1;EPS34435.1;CEJ60469.1;KZN89271.1	49766000	39715000	59745000	73220000	45503000	71001000	Superoxide dismutase (Cu/Zn) / superoxide dismutase copper chaperone;Superoxide dismutase, copper/zinc binding domain;Superoxide dismutase, copper/zinc, binding site;Superoxide dismutase-like, copper/zinc binding domain superfamily;copper/zinc binding superoxide dismutase	9	87
evm_model_NODE_3_439;OKP09225.1	1584600	1557100	1806200	3181800	3141400	0	GH67;Alpha glucuronidase;Alpha glucuronidase, N-terminal;Alpha-glucuronidase, C-terminal domain superfamily;Beta-hexosaminidase-like, domain 2;Glycoside hydrolase superfamily;Glycosyl hydrolase family 67, C-terminal;Glycosyl hydrolase family 67, catalytic domain;Alpha-glucuronidase; Glycosyl hydrolase family 67, C-terminal; glycoside hydrolase superfamily	9	16.9
evm_model_NODE_30_131;OKO97331.1	1483900	1314000	1361400	806520	744950	0	AA7;Berberine/berberine-like;FAD-binding, type 2;FAD-binding, type 2-like superfamily;FAD linked oxidase, N-terminal; restculine oxidase precursor; FAD/FMN-containing isoamyl alcohol oxidase-like protein MreA	9	22
OKO98600.1;evm_model_NODE_34_80	7483500	8055000	6150700	1302100	1049300	942490	Elongation factor 1B gamma, C-terminal;Elongation factor EF1B gamma, C-terminal domain superfamily;Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain superfamily;Glutathione S-transferase, C-terminal-like;Glutathione S-transferase, N-terminal;Thioredoxin-like superfamily;elongation factor 1 gamma domain-containing protein; eEF1-gamma domain-containing protein; translation elongation factor eEF-1 subunit gamma, putative	9	23.3
